id,url,type,Datasets,API call num,,daily,quarterly,annually
CBOE,https://www.quandl.com/data/CBOE/documentation/metadata,stock exchange,689,7,,,,
CME,https://www.quandl.com/data/CME/documentation/documentation,stock exchange,31951,320,future->CHRIS,,,
USTREASURY,https://www.quandl.com/data/USTREASURY/documentation/metadata,tax,12,1,,,,
EUREX,https://www.quandl.com/data/EUREX/documentation/documentation,future,1963,20,,,,
SGX,https://www.quandl.com/data/SGX/documentation/documentation,stock exchange,1372,14,,,,
OSE,https://www.quandl.com/data/OSE/documentation/documentation,future,137,2,CHRIS,,,
TSE,https://www.quandl.com/data/TSE/documentation/metadata,stock,3949,40,,,,
NIKKEI,https://www.quandl.com/data/NIKKEI/documentation/about,index,15,1,https://www.quandl.com/api/v3/datasets.csv?database_code=NIKKEI&per_page=100&sort_by=id&page=1&api_key=CbzNMfBFSFEFsiNNAe97,15,0,0
FINRA,https://www.quandl.com/data/FINRA/documentation/metadata,general,48732,488,,,,
NASDAQOMX,https://www.quandl.com/data/NASDAQOMX/documentation/documentation,index,41485,415,,,,
FRED,https://www.quandl.com/data/FRED/documentation/documentation,general,194819,1949,,,,
ECB,https://www.quandl.com/data/ECB/documentation/metadata,general,211308,2114,,,,
BOE,https://www.quandl.com/data/BOE/documentation/about,general,1674,17,,,,
BOJ,https://www.quandl.com/data/BOJ/documentation/about,general,85457,855,,,,
MOFJ,https://www.quandl.com/data/MOFJ/documentation/about,japan,16,1,,,,
TFX,https://www.quandl.com/data/TFX/documentation/metadata,future,142,2,,,,
AUSBS,https://www.quandl.com/data/AUSBS/documentation/about,australia,150046,1501,,,,
ODA,https://www.quandl.com/data/ODA/documentation/overview,IMF,7377,74,,,,
UKONS,https://www.quandl.com/data/UKONS/documentation/data-overview,UK,76342,764,,,,
INSEE,https://www.quandl.com/data/INSEE/documentation/about,france,281552,2816,,,,
USCENSUS,https://www.quandl.com/data/USCENSUS/documentation/metadata,statistics,50042,501,,,,
ML,https://www.quandl.com/data/ML/documentation/metadata,Corporate bond,23,1,,,,
MOODY,https://www.quandl.com/data/MOODY/documentation/metadata,Corporate bond,6,1,,,,
COOLEY,https://www.quandl.com/data/COOLEY/documentation/about,VC,5,1,,,,
NVCA,https://www.quandl.com/data/NVCA/documentation/about,VC,52,1,,,,
CVR,https://www.quandl.com/data/CVR/documentation/about,VC,8,1,,,,
FMAC,https://www.quandl.com/data/FMAC/documentation/metadata,mortgage,466,5,,,,
ADP,https://www.quandl.com/data/ADP/documentation/metadata,labor,6,1,,,,
BLSP,https://www.quandl.com/data/BLSP/documentation/documentation,labor,78,1,,,,
BLSE,https://www.quandl.com/data/BLSE/documentation/documentation,labor,1810,19,,,,
BLSI,https://www.quandl.com/data/BLSI/documentation/documentation,statistics,344,4,,,,
BLSN,https://www.quandl.com/data/BLSN/documentation/documentation,statistics,25,1,,,,
LLOYDS,https://www.quandl.com/data/LLOYDS/documentation/metadata,sea transport,4,1,,,,
URC,https://www.quandl.com/data/URC/documentation/metadata,stock trend,27,1,,,,
RENCAP,https://www.quandl.com/data/RENCAP/documentation/about,IPO,4,1,,,,
ENTSOE,https://www.quandl.com/data/ENTSOE/documentation/about,electricity,210,3,,,,
BDM,https://www.quandl.com/data/BDM/documentation/about,mexico,10971,110,,,,
IBGE,https://www.quandl.com/data/IBGE/documentation/about,brazil,121341,1214,,,,
NBSC,https://www.quandl.com/data/NBSC/documentation/about,china,55959,560,,,,
MGX,https://www.quandl.com/data/MGEX/documentation/documentation,commodity,879,9,,,,
CFTC,https://www.quandl.com/data/CFTC/documentation/about,commodity,10308,14,,,,
DGCX,https://www.quandl.com/data/DGCX/documentation/documentation,commodity,621,7,,,,
CHRIS,,future,3996,40,https://www.quandl.com/api/v3/datasets.csv?database_code=CHRIS&per_page=100&sort_by=id&page=1&api_key=CbzNMfBFSFEFsiNNAe97,,,
